file_name, split, width, height, width_n, height_n
a2537-LSCRW_0059.dng,train,2328,3112,2328,3112
a2542-IMG_3932.dng,train,4290,2856,4290,2856
a2623-IMG_4700.dng,train,4290,2856,4290,2856
a2226-IMG_5224.dng,train,4290,2856,4290,2856
a2337-_MG_1729.dng,train,3522,2348,3522,2348
a2125-20080710_001754__MG_9208.dng,train,4386,2920,4386,2920
a2401-LS_060724_8814.dng,train,5010,3335,5010,3335
a2719-LSYD4O3563.dng,train,5010,3335,5010,3335
a2726-kme_277.dng,train,3040,2014,3040,2014
a2228-LS_060707_0002.dng,val,3112,2328,3112,2328
a2259-kme_266.dng,train,2024,3032,2024,3032
a2463-IMG_0003.dng,train,2348,3522,2348,3522
a2775-jmac_DSC0487.dng,train,3040,2014,3040,2014
a2389-_I2E6088.dng,train,3522,2348,3522,2348
a2733-IMG_5826.dng,train,3906,2602,3906,2602
a2728-DSC_0147.dng,train,3040,2014,3040,2014
a2148-NKIM_MG_8299.dng,train,2602,3908,2602,3908
a2419-WP_CRW_0524.dng,train,2056,3088,2056,3088
a2319-LSYD4O2499.dng,train,5010,3335,5010,3335
a2683-_DSC9001.dng,train,4284,2844,4284,2844
a2638-LS_060107_0717.dng,train,3112,2328,3112,2328
a2237-CRW_1174.dng,train,2055,3088,2055,3088
a2232-_DSC0088.dng,train,3040,2014,3040,2014
a2773-jmac_MG_4982.dng,train,4386,2920,4386,2920
a2540-DSC_0084.dng,train,2014,3040,2014,3040
a2283-_I2E8224.dng,test,3522,2348,3522,2348
a2657-DSC_0026-2.dng,train,2014,3040,2014,3040
a2252-jmac_MG_6404.dng,train,4386,2920,4386,2920
a2735-IMG_2044.dng,test,4290,2856,4290,2856
a2295-Ja_Pe-63.dng,train,2388,4248,2388,4248
a2311-kme_559.dng,train,4432,3322,4432,3322
a2478-jmac_DSC3164.dng,train,3040,2014,3040,2014
a2236-jn_2007_12_10__BU_CRUISE_004.dng,train,3522,2348,3522,2348
a2588-jmac_MG_6874.dng,train,4386,2920,4386,2920
a2340-WP_CRW_7852.dng,test,2055,3088,2055,3088
a2523-_DSC0018-2.dng,train,2014,3040,2014,3040
a2171-kme_228.dng,train,3522,2348,3522,2348
a2599-jmac_MG_0414.dng,val,4386,2920,4386,2920
a2652-_DSC0009.dng,test,2014,3040,2014,3040
a2136-050703_180902__I2E9315.dng,train,2348,3522,2348,3522
a2624-DSC_0014-3.dng,train,3040,2014,3040,2014
a2142-KE_-1677.dng,train,3040,2014,3040,2014
a2321-NKIM_119.dng,train,2602,3908,2602,3908
a2211-dgw_047.dng,train,4284,2844,4284,2844
a2198-Ja_Pe-48.dng,train,2400,4248,2400,4248
a2412-LS_060724_8808.dng,val,5010,3335,5010,3335
a2219-kme_208.dng,train,3522,2348,3522,2348
a2169-NKIM_MG_6869.dng,val,2602,3908,2602,3908
a2635-IMG_3543.dng,train,4290,2856,4290,2856
a2310-WP_CRW_7814.dng,train,3088,2056,3088,2056
a2139-_DSC0076.dng,test,3040,2014,3040,2014
a2799-jn_20080524_090.dng,test,3522,2348,3522,2348
a2263-IMG_1489.dng,train,4290,2856,4290,2856
a2112-KE_-1413.dng,train,3040,2014,3040,2014
a2600-IMG_0312.dng,train,2602,3908,2602,3908
a2539-DSC_0276.dng,train,2616,3900,2616,3900
a2333-jmacdscf0017.dng,val,3032,2035,3032,2035
a2372-kme_139.dng,train,1944,1296,1944,1296
a2616-07-12-01-at-11h09m15s-_MG_8482.dng,train,4386,2920,4386,2920
a2153-NKIM_124.dng,train,3908,2602,3908,2602
a2769-_DSC9755.dng,train,2844,4284,2844,4284
a2417-20060207_192034__MG_2638.dng,train,2920,4386,2920,4386
a2705-NKIM_MG_8290.dng,train,2602,3908,2602,3908
a2258-NKIM_027.dng,train,2602,3908,2602,3908
a2289-_I2E6949.dng,train,3522,2348,3522,2348
a2680-IMG_8268.dng,train,3522,2348,3522,2348
a2798-kme_383.dng,train,3920,2638,3920,2638
a2424-IMG_5554.dng,train,2602,3908,2602,3908
a2466-jmac_DSC0855.dng,train,3040,2014,3040,2014
a2161-IMG_1757.dng,train,4290,2856,4290,2856
a2578-WP_CRW_3828.dng,test,2055,3088,2055,3088
a2531-Ja_Pe-42.dng,train,4248,2400,4248,2400
a2639-_MG_1514.dng,train,3522,2348,3522,2348
a2307-IMG_4747.dng,train,4290,2856,4290,2856
a2444-dgw_032.dng,train,2844,4284,2844,4284
a2352-_DGW6398.dng,train,4284,2844,4284,2844
a2197-_DSC6374.dng,train,4284,2844,4284,2844
a2608-016hunwed.dng,train,3474,2314,3474,2314
a2527-IMG_5832.dng,train,2602,3906,2602,3906
a2448-jmac_DSC4305.dng,train,2014,3040,2014,3040
a2701-_DSC0057.dng,train,3040,2014,3040,2014
a2700-kme_418.dng,test,3522,2348,3522,2348
a2217-IMG_3834.dng,train,4290,2856,4290,2856
a2403-dgw_095.dng,val,4284,2844,4284,2844
a2227-IMG_4911.dng,train,2856,4290,2856,4290
a2646-050801_143748__I2E5549.dng,train,3522,2348,3522,2348
a2487-Ja_Pe-54.dng,train,2388,4248,2388,4248
a2420-_MG_0434.dng,val,2348,3522,2348,3522
a2382-kme_017.dng,val,3522,2348,3522,2348
a2479-_DGW6373.dng,train,4284,2844,4284,2844
a2725-07-11-21-at-16h55m39s-_MG_5992.dng,train,4386,2920,4386,2920
a2220-IMG_2996.dng,train,4290,2856,4290,2856
a2178-jmac_DSC0711.dng,train,3040,2014,3040,2014
a2470-kme_505.dng,train,3024,4032,3024,4032
a2120-NKIM_MG_3128.dng,train,3908,2602,3908,2602
a2490-WP_CRW_3690.dng,train,3088,2055,3088,2055
a2777-kme_219.dng,train,2348,3522,2348,3522
a2432-IMG_4459.dng,val,2856,4290,2856,4290
a2146-IMG_4970.dng,train,4290,2856,4290,2856
a2562-IMG_4989.dng,train,2856,4290,2856,4290
a2144-jmac_MG_0288.dng,train,2920,4386,2920,4386
a2113-20070619_135552__MG_8411.dng,train,2920,4386,2920,4386
a2582-050623_214616__MG_3266.dng,test,3522,2348,3522,2348
a2186-Ja_Pe-19.dng,test,2400,4248,2400,4248
a2440-IMG_4483.dng,val,2856,4290,2856,4290
a2688-DSC_0046-2.dng,train,3040,2014,3040,2014
a2781-NKIM_MG_3099.dng,train,2602,3908,2602,3908
a2756-kme_506.dng,train,4432,3322,4432,3322
a2617-IMG_3977.dng,train,4290,2856,4290,2856
a2794-dgw_102.dng,train,4284,2844,4284,2844
a2465-20051009_143101__MG_0625.dng,test,4386,2920,4386,2920
a2204-KE_-0004.dng,train,3032,2024,3032,2024
a2134-IMG_0042.dng,train,4290,2856,4290,2856
a2476-_DSC6421.dng,train,4284,2844,4284,2844
a2443-kme_465.dng,train,3522,2348,3522,2348
a2190-DSC_0074.dng,train,2014,3040,2014,3040
a2451-07-07-17-at-00h36m15s-_MG_2335.dng,train,4386,2920,4386,2920
a2435-_MG_8018.dng,train,4386,2920,4386,2920
a2240-IMG_4061.dng,train,2856,4290,2856,4290
a2500-IMG_4279.dng,val,3522,2348,3522,2348
a2787-DSC_0009.dng,train,2014,3040,2014,3040
a2312-IMG_4734.dng,val,2856,4290,2856,4290
a2150-WP_CRW_8531.dng,test,2056,3088,2056,3088
a2406-jmac_DSC0535.dng,train,3040,2014,3040,2014
a2274-jn_2007_12_12__BU_CRUISE_056.dng,train,3522,2348,3522,2348
a2379-07-12-01-at-11h06m10s-_MG_8476.dng,test,2920,4386,2920,4386
a2418-Ja_Pe-68.dng,train,4248,2388,4248,2388
a2526-20061015_103622__MG_0042.dng,train,2920,4386,2920,4386
a2260-kme_575.dng,val,4248,2388,4248,2388
a2532-dvf_091.dng,val,3920,2638,3920,2638
a2256-_DSC5654.dng,train,4284,2844,4284,2844
a2244-jmac_DSC2985.dng,train,2014,3040,2014,3040
a2559-dgw_136.dng,train,4284,2844,4284,2844
a2474-IMG_4319.dng,val,4290,2856,4290,2856
a2561-kme_285.dng,train,3068,2048,3068,2048
a2254-kme_121.dng,train,2348,3522,2348,3522
a2394-NKIM_MG_7492.dng,train,2602,3908,2602,3908
a2723-07-07-23-at-22h40m05s-_MG_2491.dng,train,4386,2920,4386,2920
a2671-_DSC0015.dng,train,3040,2014,3040,2014
a2675-kme_382.dng,train,3920,2638,3920,2638
a2344-JI2E5003.dng,train,2348,3522,2348,3522
a2774-_DSC0051.dng,val,3040,2014,3040,2014
a2124-kme_070.dng,train,2602,3908,2602,3908
a2771-jmac_DSC5800.dng,train,2014,3040,2014,3040
a2353-jmac_DSC3975.dng,val,3900,2613,3900,2613
a2592-MB_20030906_089.dng,val,2056,3088,2056,3088
a2703-jmac_DSC1443.dng,train,3040,2014,3040,2014
a2293-kme_036.dng,train,3908,2602,3908,2602
a2575-jmac_MG_7650.dng,train,4386,2920,4386,2920
a2694-IMG_2050.dng,train,3522,2348,3522,2348
a2715-WP_CRW_0685.dng,train,3088,2055,3088,2055
a2716-DSC_0047.dng,train,2014,3040,2014,3040
a2229-LS_Z3J3937.dng,train,5010,3335,5010,3335
a2710-jmac_MG_7731.dng,train,4386,2920,4386,2920
a2549-IMG_3684.dng,train,4290,2856,4290,2856
a2437-NKIM_MG_7379.dng,train,2602,3908,2602,3908
a2535-IMG_5055.dng,train,4290,2856,4290,2856
a2246-JI2E4344.dng,test,2348,3522,2348,3522
a2189-dgw_087.dng,test,4284,2844,4284,2844
a2621-_DSC5468.dng,train,4284,2844,4284,2844
a2753-IMG_4480.dng,val,4290,2856,4290,2856
a2434-_DGW6303.dng,train,4284,2844,4284,2844
a2656-LSCRW_0073.dng,train,3112,2328,3112,2328
a2181-_DSC0003-4.dng,val,2014,3040,2014,3040
a2414-IMG_2415.dng,train,2856,4290,2856,4290
a2481-dvf_045.dng,train,3920,2638,3920,2638
a2292-DSC_0040.dng,train,3040,2014,3040,2014
a2737-dvf_089.dng,test,2638,3920,2638,3920
a2121-jn_20080509_189.dng,val,3522,2348,3522,2348
a2195-kme_199.dng,train,2348,3522,2348,3522
a2409-20041218_131550__E6B0521.dng,train,2348,3522,2348,3522
a2541-050801_070150__I2E5488.dng,train,3522,2348,3522,2348
a2173-jmac_DSC0715.dng,train,2613,3900,2613,3900
a2495-KE_-0097.dng,train,3032,2024,3032,2024
a2149-WP_CRW_8554.dng,train,3088,2056,3088,2056
a2505-050708_101930__I2E9521.dng,train,2348,3522,2348,3522
a2746-jn_20080803_0705.dng,train,3522,2348,3522,2348
a2691-jn_2007_05_05__280.dng,train,3522,2348,3522,2348
a2795-DSC_0084-2.dng,train,2014,3040,2014,3040
a2162-kme_014.dng,train,4386,2920,4386,2920
a2157-kme_230.dng,train,3522,2348,3522,2348
a2685-IMG_0697.dng,train,4290,2856,4290,2856
a2603-jmac_DSC3128.dng,test,3040,2014,3040,2014
a2767-kme_567.dng,train,3024,4032,3024,4032
a2280-jmac_DSC0618.dng,train,3040,2014,3040,2014
a2210-dgw_149.dng,train,4284,2844,4284,2844
a2557-_DGW6396.dng,train,4284,2844,4284,2844
a2589-LS051025_day_3_LL004.dng,train,3335,5010,3335,5010
a2595-IMG_2729.dng,train,2856,4290,2856,4290
a2130-LS_060107_0696.dng,train,3112,2328,3112,2328
a2782-tc_DSC0438.dng,train,2868,4320,2868,4320
a2455-kme_201.dng,train,2348,3522,2348,3522
a2318-_DSC3117.dng,train,4284,2844,4284,2844
a2534-JI2E3753.dng,train,3522,2348,3522,2348
a2452-dvf_014.dng,train,4386,2920,4386,2920
a2749-IMG_5628.dng,test,4290,2856,4290,2856
a2439-_DGW6364.dng,test,4284,2844,4284,2844
a2281-kme_425.dng,train,3522,2348,3522,2348
a2423-jn_2007_05_07__422.dng,train,3522,2348,3522,2348
a2102-jmac_MG_7845.dng,train,4386,2920,4386,2920
a2166-dgw_122.dng,val,2844,4284,2844,4284
a2644-NKIM_043.dng,train,3908,2602,3908,2602
a2298-JI2E5786.dng,train,3522,2348,3522,2348
a2140-dgw_021.dng,train,2844,4284,2844,4284
a2517-jmac_DSC0901.dng,test,2014,3040,2014,3040
a2364-DSC_0023.dng,train,2014,3040,2014,3040
a2689-jmac_DSC3218.dng,train,3900,2613,3900,2613
a2302-IMG_5817.dng,train,3906,2602,3906,2602
a2305-WP_CRW_1060.dng,train,2056,3088,2056,3088
a2460-_DSC3950.dng,train,4284,2844,4284,2844
a2251-kme_062.dng,train,2602,3908,2602,3908
a2454-kme_595.dng,train,3024,4032,3024,4032
a2498-NKIM_MG_6999.dng,train,3908,2602,3908,2602
a2253-_I2E8032.dng,train,3522,2348,3522,2348
a2323-dgw_109.dng,test,4284,2844,4284,2844
a2672-kme_105.dng,train,3908,2602,3908,2602
a2800-kme_281.dng,train,3068,2048,3068,2048
a2402-IMG_4333.dng,train,4290,2856,4290,2856
a2792-IMG_4043.dng,test,4290,2856,4290,2856
a2249-tc_DSC1869.dng,train,2868,4320,2868,4320
a2763-IMG_0236.dng,val,4290,2856,4290,2856
a2128-07-11-21-at-09h26m45s-_MG_5827.dng,train,4386,2920,4386,2920
a2392-20090108_at_11h55m12_GM6A8619.dng,train,3522,2348,3522,2348
a2538-kme_247.dng,train,3032,2024,3032,2024
a2320-WP_CRW_8538.dng,val,3088,2056,3088,2056
a2164-kme_171.dng,train,3522,2348,3522,2348
a2347-dvf_102.dng,train,3920,2638,3920,2638
a2544-IMG_3338.dng,val,4290,2856,4290,2856
a2103-dgw_054.dng,val,4284,2844,4284,2844
a2291-Ja_Pe-14.dng,train,2400,4248,2400,4248
a2159-jmac_MG_6361.dng,train,4386,2920,4386,2920
a2486-_DSC0008-4.dng,train,3040,2014,3040,2014
a2324-IMG_1266.dng,train,4290,2856,4290,2856
a2207-jmac_MG_6896.dng,val,2920,4386,2920,4386
a2667-NKIM_MG_4329.dng,train,3908,2602,3908,2602
a2632-kme_360.dng,train,1648,2482,1648,2482
a2714-IMG_4408.dng,train,2856,4290,2856,4290
a2231-kme_394.dng,train,3522,2348,3522,2348
a2664-20081226_at_17h48m43__MG_3997.dng,train,2920,4386,2920,4386
a2404-Ja_Pe-86.dng,train,2844,4284,2844,4284
a2574-_MG_0193.dng,train,2348,3522,2348,3522
a2612-dgw_115.dng,train,4284,2844,4284,2844
a2430-_DGW6240.dng,train,4284,2844,4284,2844
a2572-MB_080329_064.dng,train,4386,2920,4386,2920
a2266-WP_IMG_1480.dng,train,3024,4032,3024,4032
a2709-kme_348.dng,train,2482,1648,2482,1648
a2363-07-11-19-at-14h03m38s-_MG_5078.dng,train,4386,2920,4386,2920
a2693-kme_099.dng,test,2602,3908,2602,3908
a2354-IMG_3620.dng,train,4290,2856,4290,2856
a2788-IMG_1222.dng,train,4290,2856,4290,2856
a2687-kme_115.dng,train,3908,2602,3908,2602
a2506-jmac_DSC2998.dng,train,2014,3040,2014,3040
a2375-IMG_4979.dng,train,2856,4290,2856,4290
a2751-jn_20081025_Kent_Shelter_005.dng,train,3522,2348,3522,2348
a2399-IMG_4974.dng,train,2856,4290,2856,4290
a2529-07-06-02-at-06h09m13-s_MG_1328.dng,train,2920,4386,2920,4386
a2568-KE_-1652.dng,train,3040,2014,3040,2014
a2135-Ja_Pe-17.dng,train,4248,2400,4248,2400
a2497-NKIM_MG_6295.dng,train,3908,2602,3908,2602
a2676-dgw_055.dng,train,4284,2844,4284,2844
a2619-NKIM_MG_6845.dng,train,3908,2602,3908,2602
a2264-NKIM_MG_2637.dng,train,2602,3908,2602,3908
a2390-_DSC5419.dng,train,4284,2844,4284,2844
a2429-kme_315.dng,train,3032,2024,3032,2024
a2101-_DSC1809.dng,test,4284,2844,4284,2844
a2384-IMG_2883.dng,train,4290,2856,4290,2856
a2407-dvf_044.dng,train,3920,2638,3920,2638
a2729-_DSC0052.dng,train,3040,2014,3040,2014
a2669-jmac_MG_0238.dng,train,4386,2920,4386,2920
a2346-DSC_0066-1.dng,train,2014,3040,2014,3040
a2724-050703_083734__I2E9185.dng,train,2348,3522,2348,3522
a2329-07-06-02-at-06h10m57-s_MG_1331.dng,val,4386,2920,4386,2920
a2502-jmac_DSC4005.dng,train,2014,3040,2014,3040
a2641-_MG_2569.dng,train,2348,3522,2348,3522
a2156-_DSC0008-3.dng,train,3040,2014,3040,2014
a2521-kme_258.dng,train,3522,2348,3522,2348
a2642-DSC_0039.dng,train,3040,2014,3040,2014
a2348-IMG_4268.dng,train,4290,2856,4290,2856
a2449-_DSC1750.dng,train,4284,2844,4284,2844
a2304-kme_522.dng,test,4032,3024,4032,3024
a2570-jmac_MG_5734.dng,train,4386,2920,4386,2920
a2704-WP_CRW_0606.dng,train,2056,3088,2056,3088
a2545-LSYD4O0759.dng,train,5010,3335,5010,3335
a2696-DSC_0006-1.dng,train,2014,3040,2014,3040
a2601-050812_154948__MG_3818.dng,train,3522,2348,3522,2348
a2141-IMG_2342.dng,train,2856,4290,2856,4290
a2104-07-08-11-at-16h50m03s-N0000154.dng,train,2920,4386,2920,4386
a2584-dvf_063.dng,train,3920,2638,3920,2638
a2734-IMG_4797.dng,train,4290,2856,4290,2856
a2314-20080426_111248__MG_9227.dng,train,4386,2920,4386,2920
a2484-dgw_011.dng,train,2844,4284,2844,4284
a2405-NKIM_MG_6615.dng,train,3908,2602,3908,2602
a2591-IMG_4479.dng,train,4290,2856,4290,2856
a2428-IMG_4761.dng,train,2856,4290,2856,4290
a2441-dgw_071.dng,train,4284,2844,4284,2844
a2468-_DSC9195.dng,train,4284,2844,4284,2844
a2488-IMG_4198.dng,train,4290,2856,4290,2856
a2620-IMG_0099.dng,train,4290,2856,4290,2856
a2285-07-11-29-at-17h23m11s-_MG_8171.dng,train,4386,2920,4386,2920
a2411-jmac_DSC1006.dng,test,3040,2014,3040,2014
a2772-jmac_MG_7411.dng,test,4386,2920,4386,2920
a2730-WP_CRW_0708.dng,train,3088,2055,3088,2055
a2245-20060508_141031__MG_6785.dng,train,2920,4386,2920,4386
a2218-jmac_DSC0584.dng,train,3040,2014,3040,2014
a2378-NKIM_001.dng,train,3908,2602,3908,2602
a2326-_MG_1167.dng,train,3522,2348,3522,2348
a2637-060814_062852__MG_6415.dng,train,4386,2920,4386,2920
a2257-dgw_061.dng,val,4284,2844,4284,2844
a2155-WP_CRW_4967.dng,test,3088,2055,3088,2055
a2681-jmac_DSC1672.dng,train,3040,2014,3040,2014
a2634-IMG_5073.dng,test,4290,2856,4290,2856
a2213-dgw_150.dng,train,4284,2844,4284,2844
a2518-IMG_4470.dng,train,4290,2856,4290,2856
a2722-dgw_158.dng,val,4284,2844,4284,2844
a2206-_I2E7986.dng,train,3522,2348,3522,2348
a2365-WP_IMG_0953.dng,train,4032,3024,4032,3024
a2223-jmac_DSC1311 (1).dng,train,3900,2613,3900,2613
a2111-_DSC5607.dng,val,4284,2844,4284,2844
a2707-kme_553.dng,train,4432,3322,4432,3322
a2160-kme_173.dng,train,3522,2348,3522,2348
a2261-kme_012.dng,train,3908,2602,3908,2602
a2520-dgw_143.dng,train,4284,2844,4284,2844
a2393-_DSC6398.dng,val,4284,2844,4284,2844
a2338-MB_080628_696.dng,train,2920,4386,2920,4386
a2752-kme_015.dng,train,3908,2602,3908,2602
a2233-_I2E8955.dng,train,3522,2348,3522,2348
a2711-MB_070908_106.dng,train,2920,4386,2920,4386
a2388-Ja_Pe-25.dng,train,4248,2400,4248,2400
a2358-jmac_MG_0546.dng,train,4386,2920,4386,2920
a2546-_MG_7763.dng,train,2920,4386,2920,4386
a2791-_DGW6374.dng,train,4284,2844,4284,2844
a2119-dgw_009.dng,train,4284,2844,4284,2844
a2597-060824_122554__MG_6756.dng,train,4386,2920,4386,2920
a2426-kme_374.dng,train,2035,3032,2035,3032
a2684-IMG_0726.dng,train,4290,2856,4290,2856
a2742-WP_CRW_1013.dng,train,2056,3088,2056,3088
a2115-_DSC0150.dng,train,2014,3040,2014,3040
a2670-Ja_Pe-43.dng,train,4248,2400,4248,2400
a2712-060525_121426__MG_7960.dng,test,3522,2348,3522,2348
a2446-kme_212.dng,train,2348,3522,2348,3522
a2456-IMG_1681.dng,train,4290,2856,4290,2856
a2193-20090128_at_16h44m24__MG_4134.dng,train,2920,4386,2920,4386
a2126-IMG_4744.dng,train,4290,2856,4290,2856
a2212-jmac_MG_6333.dng,test,4386,2920,4386,2920
a2109-kme_533.dng,train,4032,3024,4032,3024
a2370-JI2E5682.dng,train,2348,3522,2348,3522
a2748-_DGW6282.dng,test,4284,2844,4284,2844
a2362-20051223_084128__MG_0542.dng,train,4386,2920,4386,2920
a2489-kme_408.dng,val,3522,2348,3522,2348
a2268-_DGW6411.dng,test,4284,2844,4284,2844
a2796-_I2E6925.dng,train,3522,2348,3522,2348
a2200-dgw_031.dng,val,4284,2844,4284,2844
a2361-07-06-01-at-13h15m17-s_MG_1259.dng,train,4386,2920,4386,2920
a2754-_DSC7455.dng,train,2844,4284,2844,4284
a2618-jn_20080524_098.dng,train,3522,2348,3522,2348
a2447-DSC_0076.dng,train,2014,3040,2014,3040
a2765-_I2E8006.dng,train,3522,2348,3522,2348
a2118-IMG_4371.dng,train,2856,4290,2856,4290
a2350-_I2E7378.dng,train,3522,2348,3522,2348
a2525-jn_2007_12_12__BU_CRUISE_090.dng,train,2348,3522,2348,3522
a2255-kme_282.dng,test,3068,2048,3068,2048
a2129-jmac_MG_1342.dng,train,4386,2920,4386,2920
a2367-dgw_098.dng,train,4284,2844,4284,2844
a2163-IMG_1086.dng,train,2856,4290,2856,4290
a2629-IMG_4477.dng,train,4290,2856,4290,2856
a2328-kme_547.dng,train,4432,3322,4432,3322
a2566-jmac_DSC1567.dng,train,2014,3040,2014,3040
a2277-07-11-24-at-15h53m42s-_MG_6720.dng,train,4386,2920,4386,2920
a2332-_DGW6258.dng,test,4284,2844,4284,2844
a2548-jmac_DSC3866.dng,train,2014,3040,2014,3040
a2654-IMG_0032.dng,train,3908,2602,3908,2602
a2530-WP_CRW_4634.dng,test,2056,3088,2056,3088
a2776-jmac_DSC1704.dng,test,3040,2014,3040,2014
a2745-IMG_3472.dng,val,4290,2856,4290,2856
a2512-JI2E4115.dng,train,3522,2348,3522,2348
a2581-20061231_183045__E6B8042.dng,train,3522,2348,3522,2348
a2303-IMG_4427.dng,train,4290,2856,4290,2856
a2179-jn_20080508_172.dng,train,3522,2348,3522,2348
a2585-DSC_0254.dng,train,2014,3040,2014,3040
a2180-dvf_007.dng,train,4386,2920,4386,2920
a2659-kme_238.dng,train,2348,3522,2348,3522
a2151-Ja_Pe-21.dng,train,4248,2400,4248,2400
a2377-jn_20071005_0031.dng,train,3522,2348,3522,2348
a2583-_I2E6089.dng,train,3522,2348,3522,2348
a2396-IMG_3589.dng,train,4290,2856,4290,2856
a2175-050708_183048__I2E9770.dng,train,3522,2348,3522,2348
a2663-NKIM_MG_3154.dng,test,2602,3908,2602,3908
a2552-NKIM_MG_1872.dng,val,3522,2348,3522,2348
a2201-050716_220126__I2E4382.dng,train,3522,2348,3522,2348
a2459-_MG_7774.dng,test,2920,4386,2920,4386
a2453-JI2E0566.dng,train,3522,2348,3522,2348
a2336-IMG_1392.dng,train,4290,2856,4290,2856
a2507-IMG_5137.dng,test,4290,2856,4290,2856
a2445-LSYD4O2450.dng,train,5010,3335,5010,3335
a2187-IMG_5574.dng,train,2602,3908,2602,3908
a2398-051007_160936__I2E8858.dng,val,3522,2348,3522,2348
a2622-jmac_MG_5763.dng,train,4386,2920,4386,2920
a2287-WP_CRW_9521.dng,train,2055,3088,2055,3088
a2122-jmacdscf0618.dng,test,3032,2035,3032,2035
a2770-LSYD4O2181.dng,train,5010,3335,5010,3335
a2717-_DSC2802.dng,train,4284,2844,4284,2844
a2282-_DSC3374.dng,test,2844,4284,2844,4284
a2779-DSC_0286.dng,train,3040,2014,3040,2014
a2123-IMG_5027.dng,train,2856,4290,2856,4290
a2647-jmac_DSC1283.dng,train,3900,2613,3900,2613
a2127-KE_-2374.dng,val,3040,2014,3040,2014
a2499-_DSC1385.dng,train,2844,4284,2844,4284
a2152-jmac_MG_7721.dng,train,4386,2920,4386,2920
a2625-jn_20080928_066.dng,train,3522,2348,3522,2348
a2351-WP_CRW_2780.dng,train,2056,3088,2056,3088
a2482-IMG_8317.dng,train,2602,3906,2602,3906
a2108-NKIM_MG_3127.dng,val,2602,3908,2602,3908
a2785-NKIM_MG_7776.dng,val,3908,2602,3908,2602
a2248-NKIM_113.dng,val,3908,2602,3908,2602
a2762-IMG_2872.dng,train,2856,4290,2856,4290
a2579-060117_182326__MG_7204.dng,train,2348,3522,2348,3522
a2381-IMG_0018.dng,val,2856,4290,2856,4290
a2524-kme_045.dng,val,3908,2602,3908,2602
a2413-IMG_4413.dng,train,2856,4290,2856,4290
a2554-LSYD4O0571.dng,train,5010,3335,5010,3335
a2768-kme_339.dng,test,3040,2014,3040,2014
a2755-_I2E7798.dng,train,3522,2348,3522,2348
a2234-_DGW6319.dng,val,4284,2844,4284,2844
a2509-kme_434.dng,train,3522,2348,3522,2348
a2397-_DSC3248.dng,train,4284,2844,4284,2844
a2668-_DSC2618.dng,val,2844,4284,2844,4284
a2649-jn_20071207_Xmas_House_0127.dng,train,3522,2348,3522,2348
a2185-jmacDSC_0048.dng,train,3040,2014,3040,2014
a2586-JI2E3899.dng,train,3522,2348,3522,2348
a2643-kme_096.dng,val,2602,3908,2602,3908
a2371-LS_D4O0320.dng,train,5010,3335,5010,3335
a2462-KE_-0058.dng,train,3032,2024,3032,2024
a2400-IMG_0062.dng,train,4290,2856,4290,2856
a2708-_I2E7989.dng,train,3522,2348,3522,2348
a2421-WP_CRW_0363.dng,train,2056,3088,2056,3088
a2331-WP_CRW_6337.dng,train,3088,2055,3088,2055
a2203-kme_146.dng,train,4386,2920,4386,2920
a2778-kme_117.dng,train,3522,2348,3522,2348
